sha256,size_bytes,copy_count,source_relative_path,destination_relative_path
087e4fdf120457dd86460f414a4b052bf6f5370c9af84b50eec9f0cb41557381,4812,2,institutional_integrity/institutional_integrity_v0_4/references_v03/67_current_legal_source_notes.md,05_INTEGRITY_SAFEGUARDING_AND_COMPLIANCE/institutional_integrity/institutional_integrity_v0_4/references_v03/67_current_legal_source_notes.md
089e52b2a704f07257567567d858a9e9212cf651e413db266015dd3f8cc7e438,40132,2,institution/06-templates/governance/GOV-NOT-001-Meeting-Notice.docx,04_INSTITUTION_AND_GOVERNANCE/institution/06-templates/governance/GOV-NOT-001-Meeting-Notice.docx
089e52b2a704f07257567567d858a9e9212cf651e413db266015dd3f8cc7e438,40132,2,operations/templates/04-Governance/GOV-NOT-001-Meeting-Notice.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/operations/templates/04-Governance/GOV-NOT-001-Meeting-Notice.docx
08ced801f056b6d4c0a8c1bec7d5ff1aa7ee586a62b2e1cda01d59d7309f5f4b,40825,2,Congregation/CONG-001-Congregational-Operations-Layer-Production-Binder.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/Congregation/CONG-001-Congregational-Operations-Layer-Production-Binder.docx
08ced801f056b6d4c0a8c1bec7d5ff1aa7ee586a62b2e1cda01d59d7309f5f4b,40825,2,institution/99-archive/historical-drafts/production-binders/CONG-001-Congregational-Operations-Layer-Production-Binder.docx,04_INSTITUTION_AND_GOVERNANCE/institution/99-archive/historical-drafts/production-binders/CONG-001-Congregational-Operations-Layer-Production-Binder.docx
08dea783898e7a7ddd3b2e3140ecf1147f8bd79f44ee4510490c833571ecbbc8,40289,2,institution/06-templates/governance/GOV-REC-001-Conflict-Recusal-Record.docx,04_INSTITUTION_AND_GOVERNANCE/institution/06-templates/governance/GOV-REC-001-Conflict-Recusal-Record.docx
08dea783898e7a7ddd3b2e3140ecf1147f8bd79f44ee4510490c833571ecbbc8,40289,2,operations/templates/04-Governance/GOV-REC-001-Conflict-Recusal-Record.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/operations/templates/04-Governance/GOV-REC-001-Conflict-Recusal-Record.docx
08f1955ecce91d762ba03f8a380d0e947f3809635a760ddee5c86a71eb3fd0d5,79,6,community-platform/node_modules/@supabase/auth-js/dist/main/lib/version.d.ts,06_DIGITAL_PLATFORM/community-platform/node_modules/@supabase/auth-js/dist/main/lib/version.d.ts
08f1955ecce91d762ba03f8a380d0e947f3809635a760ddee5c86a71eb3fd0d5,79,6,community-platform/node_modules/@supabase/auth-js/dist/module/lib/version.d.ts,06_DIGITAL_PLATFORM/community-platform/node_modules/@supabase/auth-js/dist/module/lib/version.d.ts
08f1955ecce91d762ba03f8a380d0e947f3809635a760ddee5c86a71eb3fd0d5,79,6,community-platform/node_modules/@supabase/functions-js/dist/main/version.d.ts,06_DIGITAL_PLATFORM/community-platform/node_modules/@supabase/functions-js/dist/main/version.d.ts
08f1955ecce91d762ba03f8a380d0e947f3809635a760ddee5c86a71eb3fd0d5,79,6,community-platform/node_modules/@supabase/functions-js/dist/module/version.d.ts,06_DIGITAL_PLATFORM/community-platform/node_modules/@supabase/functions-js/dist/module/version.d.ts
08f1955ecce91d762ba03f8a380d0e947f3809635a760ddee5c86a71eb3fd0d5,79,6,community-platform/node_modules/@supabase/realtime-js/dist/main/lib/version.d.ts,06_DIGITAL_PLATFORM/community-platform/node_modules/@supabase/realtime-js/dist/main/lib/version.d.ts
08f1955ecce91d762ba03f8a380d0e947f3809635a760ddee5c86a71eb3fd0d5,79,6,community-platform/node_modules/@supabase/realtime-js/dist/module/lib/version.d.ts,06_DIGITAL_PLATFORM/community-platform/node_modules/@supabase/realtime-js/dist/module/lib/version.d.ts
092529f9a1f5e5e069119b8b6c0fe2894c7dd88347ba532246005d7e2c69149d,3233,2,institutional_integrity/institutional_integrity_v0_3/tax/64_irs_1023_preparation_dossier.md,05_INTEGRITY_SAFEGUARDING_AND_COMPLIANCE/institutional_integrity/institutional_integrity_v0_3/tax/64_irs_1023_preparation_dossier.md
092529f9a1f5e5e069119b8b6c0fe2894c7dd88347ba532246005d7e2c69149d,3233,2,institutional_integrity/institutional_integrity_v0_4/tax/64_irs_1023_preparation_dossier.md,05_INTEGRITY_SAFEGUARDING_AND_COMPLIANCE/institutional_integrity/institutional_integrity_v0_4/tax/64_irs_1023_preparation_dossier.md
096bcdd6c9233dc77bf69ee7b3d22309132db883322f2f7821f03359c548b550,3961,2,release_v1_0/source/teaching_status_register_v1_0.csv,03_RELEASES_AND_BASELINES/release_v1_0/source/teaching_status_register_v1_0.csv
096bcdd6c9233dc77bf69ee7b3d22309132db883322f2f7821f03359c548b550,3961,2,source/teaching_status_register_v1_0.csv,01_FOUNDATIONAL_SOURCE/source/teaching_status_register_v1_0.csv
0973c1d64c88adc8e3c950410cb58b288f72118d5965b78049438deb8f2f9683,112594,3,community-platform/.next/dev/static/chunks/node_modules_next_dist_build_polyfills_polyfill-nomodule.js,06_DIGITAL_PLATFORM/community-platform/.next/dev/static/chunks/node_modules_next_dist_build_polyfills_polyfill-nomodule.js
0973c1d64c88adc8e3c950410cb58b288f72118d5965b78049438deb8f2f9683,112594,3,community-platform/node_modules/next/dist/build/polyfills/polyfill-nomodule.js,06_DIGITAL_PLATFORM/community-platform/node_modules/next/dist/build/polyfills/polyfill-nomodule.js
